,Supervised,PET HMM,Active site HMM,Homologs HMM,Blosum,unsupervised,petml_scores
DP011,-1.4081687078106775,-1.7831646759251982,10.54603629810685,-1.7335524847769457,-0.7169609482117519,1.5780895472982388,0.08496041974378066
DP019,-1.6468450659868465,-1.682506758932779,14.561117148365494,-0.7913684988137002,0.4902351798986114,3.144369267629407,0.7487621008212801
DP027,-1.13086537108983,-0.8772434229934253,13.594832130460924,-1.0073814126686889,0.4147854218917137,3.0312481791726307,0.9501914040414003
DP035,-3.115398393289327,-1.0732614718734002,12.461946247400395,-0.40070684609723256,-0.11336288415657027,2.718653761318298,-0.19837231598551464
DP043,-1.2204480782960863,-2.0877873194548875,5.5146901703968485,-1.0257654904435818,-0.07563800515312141,0.5813748388363144,-0.31953661972988595
DP051,-1.1016923923437512,0.11079349906373977,14.327875937147152,0.4633448093227199,0.5279600589020602,3.8574935761089177,1.3779005918825833
DP059,-1.3579786400678666,-1.992427187567332,7.597200984846353,-1.614055979240144,-0.39629947668243665,0.8986045853391101,-0.22968702736437824
DP067,-1.387973933780992,-1.1315371080269057,11.662262094651785,-1.0303615098873047,-0.3585745976789878,2.2854472197646465,0.44873664299182725
DP075,-0.9932477780958803,-2.0983828896646153,7.797122023033506,-1.8070887958765172,-0.6226487507031297,0.817250396697311,-0.08799869069928462
DP083,-1.6780222421181987,0.2988648702864181,14.07797463941321,0.3254642260110254,0.829759090929651,3.883015706660076,1.1024967322709387
DP091,-2.1366417544701504,-1.7911113535824934,10.029573616123372,-1.1452619959803834,-0.24539996066864125,1.7119500764729634,-0.2123458389985935
DP012,-0.8297251512417815,-2.063947286482998,9.596411366717877,-1.3796589876102636,0.22616102687446943,1.5947415298747711,0.38250818931649483
DP020,-1.8919410841949236,-1.8838225929176162,8.99664825215642,-1.6829962708959914,-0.7358233877134763,1.1735015001573343,-0.3592197920187946
DP028,-0.9281698949866609,-1.3090129090398548,9.513110934139897,-0.6534879155020057,0.7920342119262023,2.08566108038106,0.5787455926971996
DP036,-1.7147668579319029,-0.6997676219804762,13.594832130460924,-0.10196558225522792,-0.09450044465484583,3.1746496203925934,0.7299413812303452
DP044,-2.3670362626837993,-0.829563357049649,9.912953010514203,-0.7867724793699773,-0.16995020266174354,2.0316667428582083,-0.16768475991279552
DP052,-1.145199209029964,-0.28124259869620705,12.811808064227911,-0.37772674887861685,0.39592298238998924,3.137190424760769,0.9959956078654025
DP060,-1.1626382028062028,-1.5924444121500871,12.378645814822415,-1.3015266570669708,-0.5471989926962321,2.234368938227281,0.5358653677105392
DP068,-1.5546584623688318,-2.206987484314331,6.331034409661055,-1.7519365625518386,-0.1322253236582947,0.5599712597841475,-0.4973436012923421
DP076,-0.7708475894984034,0.018082259728616924,14.977619311255397,0.27031199268634554,0.6222722564106824,3.9720714550202603,1.6006119327609285
DP084,-1.6796815354718941,0.04457118525293774,15.094239916864568,0.2611199537988998,0.11298638986412286,3.878229361445132,1.099273912986619
DP092,-1.2337946953062626,-2.4453878140332184,4.548405152492279,-1.8714330680886402,-1.0942097382462403,-0.21565636696895496,-0.7247255311376088
DP013,-1.7708347760067455,-1.3116618015922874,10.562696384622447,-1.522135590365681,-0.9244477827307206,1.7011128024834394,-0.03486098676165306
DP021,-1.8182780947757797,-2.140765170503529,5.997832679349134,-1.1314739376492136,-0.24539996066864125,0.6200484026319375,-0.5991148460719211
DP029,-1.3086464958779258,-0.3580604827167383,12.078764257541687,-0.07898548503661218,-0.20767508166519238,2.858510802030786,0.7749321530764302
DP037,-1.5833041605862794,-1.4599997845284831,9.96293327006099,-0.34555461277255534,0.09412395036239843,2.0628757057805873,0.23978577259715395
DP045,-2.525589607765877,-1.6083377674646804,10.312795086888505,-1.0441495682184734,0.24502346637619385,1.976332804395386,-0.2746284016852454
DP053,-1.8992078383271107,-0.16734021894162876,14.827678532615032,0.4173846148854884,0.5090976194003358,3.896705136989807,0.9987486493313481
DP061,-1.1343365633052886,-2.0612983939305667,6.947457610738106,-1.3980430653851565,-0.3019872791738145,0.7965322180621424,-0.16890217262157314
DP069,-1.1136569360474116,0.03132672249077733,15.127560089895757,0.14162344826209947,0.6977220144175801,3.9995580687665533,1.442950566359571
DP077,-1.0617105574913261,-1.4705953547382125,9.779672318389432,-0.8327326738072088,-0.9998975407376183,1.6191116872765978,0.27870056489263584
DP085,-0.4481300652665224,-0.7871810762107352,13.095029534993044,-0.37772674887861685,-0.22653752116691683,2.9258960471841937,1.2388829909588357
DP093,-1.8613601164659332,-1.1262393229220418,10.246154740826123,-0.8281366543634859,0.16957370836929614,2.1153381179774726,0.1269890007557697
DP001,-1.3902905599148738,-1.9023648407846419,10.262814827341717,-0.8373286932509317,-0.6037863112014054,1.7298337455261845,0.16977159280565535
DP014,-2.394057665317122,-1.343448512221472,10.146194221732545,-1.278546559848355,-0.8301355852220985,1.6735158911101546,-0.36027088710348365
DP022,-1.3934258915169542,-0.879892315545858,11.5956217485894,-0.9108650043505031,-0.7924107062186496,2.253113430618597,0.4298437695508215
DP030,-1.6615722092203151,-1.2057060994950042,13.111689621508638,-1.2325863654111235,-0.8867229037272718,2.44666856321881,0.3925481769992475
DP038,-1.4538778374464358,-0.5964608124356257,13.894713687741653,-0.18009791279852222,0.32047322438309156,3.359657046722649,0.9528896046381067
DP046,-1.6403265215549625,-0.70506540708534,11.762222613745362,-0.7637923821513616,-0.09450044465484583,2.549716094963453,0.45469478670424535
DP054,-2.193533457364353,-1.2851728760679666,9.213229376859168,-1.2004142293050606,-0.24539996066864125,1.6205605777043748,-0.2864864398299891
DP062,-0.9293534769530268,-1.9712360471478751,13.061709361961851,-1.9403733597444874,-0.33971215817726336,2.2025969492230564,0.6366217361350148
DP070,-1.5319400711821012,-0.08257565726380095,13.24497031363341,-0.23984616556692237,-0.2831248396720901,3.159855912782649,0.8139579208002738
DP078,-2.1839602235521802,-1.0017413729577342,12.045444084510494,-1.3842550070539865,-1.6223580442945245,2.009272415051062,-0.08734390425055905
DP086,-1.0246260632436042,0.794207777591217,15.677342944910428,0.6977418009525989,0.22616102687446943,4.3488633875821785,1.6621186621692872
DP094,-1.8580040744559545,-1.2427905952290528,12.112084430572876,-1.4577913181535567,-2.0939190318376353,1.8293958713381577,-0.014304101558898386
DP003,-1.3786356264179311,-1.1156437527123126,15.060919743833377,-0.6764680127206215,0.2827483453796427,3.3878890809450217,1.0046267272635454
DP015,-1.7874315883576215,-0.33951823484971405,12.378645814822415,-0.21227004890458373,-0.7546858272152007,2.7680429259632287,0.4903056688028036
DP023,-1.1668962429952316,-0.3156782018778244,14.561117148365494,0.6701656842902616,0.735446893421029,3.9127628810497397,1.3729333190272541
DP031,-1.8614292879300094,-1.79905803123979,12.545246679978375,-1.526731609809404,-0.33971215817726336,2.219936220187979,0.17925346612898485
DP039,-1.335603985989624,-1.0918037197404244,12.828468150743507,-1.4256191820474953,-0.7546858272152007,2.3890898554350968,0.5267429347227364
DP047,-1.2699273462081038,-1.6321778004365683,7.430600119690392,-1.5037515125907883,-0.18881264216346796,1.0264645411248918,-0.12173140254160597
DP055,-1.6998810983744483,-1.1050481825025849,12.461946247400395,-0.6902560710517914,-0.2831248396720901,2.5958792885434816,0.44799909508451663
DP063,-1.0954627391354588,-1.4652975696333486,12.528586593462776,-1.0671296654370892,-1.0187599802393428,2.244349844538249,0.574443552701395
DP071,-1.609355870857733,-0.5540785315967117,15.594042512332448,-0.48803121552797263,0.39592298238998924,3.7369639368994383,1.0638040330208527
